央视频道,#genre#
CCTV1,http://39.135.160.13:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000311/1000.m3u8?IASHttpSessionId
CCTV2,http://39.135.160.12:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000317/1000.m3u8?IASHttpSessionId
CCTV3,http://39.135.111.103:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000359/1000.m3u8?IASHttpSessionId
CCTV4,http://39.135.160.11:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000320/1000.m3u8?IASHttpSessionId
CCTV5,http://39.135.111.106:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000360/1000.m3u8?IASHttpSessionId
CCTV5+,http://39.135.111.105:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000316/1000.m3u8?IASHttpSessionId
CCTV6,http://39.135.111.105:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000361/1000.m3u8?IASHttpSessionId
CCTV7,http://39.135.160.14:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000318/1000.m3u8?IASHttpSessionId
CCTV8,http://39.135.160.12:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000362/1000.m3u8?IASHttpSessionId
CCTV9,http://39.135.160.11:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000319/1000.m3u8?IASHttpSessionId
CCTV10,http://39.135.111.99:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000321/1000.m3u8?IASHttpSessionId
CCTV11,http://39.135.111.107:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000344/1000.m3u8?IASHttpSessionId
CCTV12,http://39.135.160.11:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000322/1000.m3u8?IASHttpSessionId
CCTV13,http://39.135.160.14:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000345/1000.m3u8?IASHttpSessionId
CCTV14,http://39.135.111.103:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000323/1000.m3u8?IASHttpSessionId
CCTV15,http://39.135.160.11:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000346/1000.m3u8?IASHttpSessionId
CCTV-16 奥林匹克,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTVNEWS,http://39.135.111.106:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000009/1000.m3u8?IASHttpSessionId
CCTV17,http://39.135.111.99:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000303/1000.m3u8?IASHttpSessionId
CCTV4中文国际欧洲,http://39.135.111.103:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000350/1000.m3u8?IASHttpSessionId
CCTV4中文国际美洲,http://39.135.111.106:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000351/1000.m3u8?IASHttpSessionId
CGTN-英语,http://39.135.111.105:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000352/1000.m3u8?IASHttpSessionId
CGTN-英文记录,http://39.135.160.12:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000353/1000.m3u8?IASHttpSessionId
CGTN-西班牙语,http://39.135.160.14:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000354/1000.m3u8?IASHttpSessionId
CGTN-法语,http://39.135.160.11:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000355/1000.m3u8?IASHttpSessionId
CGTN-阿拉伯语,http://39.135.160.14:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000356/1000.m3u8?IASHttpSessionId
CGTN-俄语,http://39.135.111.102:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000357/1000.m3u8?IASHttpSessionId
卫视频道,#genre#
山东卫视,http://39.135.111.105:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000301/1000.m3u8?IASHttpSessionId
湖南卫视,http://39.135.111.106:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000324/1000.m3u8?IASHttpSessionId
浙江卫视,http://39.135.111.103:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000305/1000.m3u8?IASHttpSessionId
东方卫视,http://39.135.160.14:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000309/1000.m3u8?IASHttpSessionId
江苏卫视,http://39.135.160.11:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000304/1000.m3u8?IASHttpSessionId
北京卫视,http://39.135.111.104:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000302/1000.m3u8?IASHttpSessionId 
安徽卫视,http://39.135.160.11:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000328/1000.m3u8?IASHttpSessionId
天津卫视,http://39.135.111.106:6610/shandong_cabletv.live.zte.com/10.23.223.28:8081/00/SNM/CHANNEL00000327/1000.m3u8?IASHttpSessionId
辽宁卫视,http://39.135.160.12:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000326/1000.m3u8?IASHttpSessionId
